method,available,position_auc_09_m_s,yaw_auc_09_rad_s,sustained_attachment_s,attachment_fractional_row,remaining_arc_at_attachment_m,execution_clearance_lower_bound_m
M0_NATIVE,True,0.16906563251616213,0.1933680494136356,1.4666667431592941,8.71784637002957,0.04248492430721584,0.1335610944454762
M1_SE2_TAPER,True,0.16685343508859454,0.18791128082766012,1.5000000782310963,8.738964972891933,0.039305017516097385,0.13420826937450328
M2_RIGID_TRANSPORT,True,0.17541484493530202,0.16807482294898232,,,,0.05896514625340536
M3_LOCAL_SE2,True,0.16733529861869476,0.19330469836158126,1.4666667431592941,8.617009689441737,0.057668279356073215,0.1359974288761988
