method,position_auc_09_m_s,yaw_auc_09_rad_s,sustained_attachment_s,attachment_fractional_row,remaining_arc_at_attachment_m,execution_clearance_lower_bound_m
M0_NATIVE,0.0,0.0,0.0,0.0,0.0,0.0
M1_SE2_TAPER,-0.0022121974275675915,-0.005456768585975491,0.03333333507180214,0.021118602862364,-0.0031799067911184586,0.0006471749290270778
M2_RIGID_TRANSPORT,0.0063492124191398824,-0.02529322646465329,,,,-0.07459594819207084
M3_LOCAL_SE2,-0.0017303338974673788,-6.33510520543501e-05,0.0,-0.10083668058783246,0.015183355048857372,0.0024363344307226087
